Station,Scenario,Model,Variable,CV,Bias,NRMSE,RMSE,CV Delta From Observed,Max. Value,Max. Value Delta From Observed,A-D p-value,K-S p-value,K-S statistic sign
Kodiak,rcp45,GISS-E2-R,pr_total_mm,2.6,-5.2,0.2,97.1,0.75,354.0,67.1,0.01,0.01,-1
Kodiak,rcp45,GISS-E2-R,tas_mean_C,1.05,-0.1,0.1,2.7,0.06,14.9,1.6,0.25,0.72,-1
Kodiak,rcp60,GISS-E2-R,pr_total_mm,2.6,-12.1,0.3,104.3,0.75,391.0,30.1,0.0,0.0,-1
Kodiak,rcp60,GISS-E2-R,tas_mean_C,1.13,-0.3,0.1,2.6,0.14,14.7,1.8,0.25,0.15,-1
Kodiak,rcp85,GISS-E2-R,pr_total_mm,2.65,-6.4,0.2,96.0,0.8,363.0,58.1,0.0,0.0,-1
Kodiak,rcp85,GISS-E2-R,tas_mean_C,1.09,-0.2,0.1,2.6,0.1,14.6,1.9,0.25,0.28,-1
Kodiak,rcp45,IPSL-CM5A-LR,pr_total_mm,2.16,3.1,0.2,97.9,0.31,389.0,32.1,0.24,0.56,-1
Kodiak,rcp45,IPSL-CM5A-LR,tas_mean_C,0.93,-0.1,0.1,2.6,0.06,17.8,-1.3,0.25,0.64,1
Kodiak,rcp60,IPSL-CM5A-LR,pr_total_mm,2.08,-0.8,0.2,99.1,0.23,395.0,26.1,0.25,0.64,-1
Kodiak,rcp60,IPSL-CM5A-LR,tas_mean_C,1.02,-0.6,0.1,2.6,0.03,17.6,-1.1,0.23,0.23,-1
Kodiak,rcp85,IPSL-CM5A-LR,pr_total_mm,2.21,-7.6,0.2,102.9,0.36,396.0,25.1,0.06,0.12,-1
Kodiak,rcp85,IPSL-CM5A-LR,tas_mean_C,1.09,-0.8,0.1,2.5,0.1,16.7,-0.2,0.14,0.19,-1
Kodiak,rcp45,MRI-CGCM3,pr_total_mm,2.32,-7.6,0.3,104.6,0.47,357.0,64.1,0.05,0.12,-1
Kodiak,rcp45,MRI-CGCM3,tas_mean_C,0.99,0.2,0.1,2.6,0.0,15.8,0.7,0.25,0.72,-1
Kodiak,rcp60,MRI-CGCM3,pr_total_mm,2.95,-18.7,0.2,101.7,1.1,340.0,81.1,0.0,0.0,-1
Kodiak,rcp60,MRI-CGCM3,tas_mean_C,1.07,-0.1,0.1,2.2,0.08,15.1,1.4,0.25,0.72,-1
Kodiak,rcp85,MRI-CGCM3,pr_total_mm,2.68,-13.8,0.2,97.8,0.83,350.0,71.1,0.0,0.0,-1
Kodiak,rcp85,MRI-CGCM3,tas_mean_C,1.13,-0.4,0.1,2.4,0.14,15.1,1.4,0.25,0.34,-1
Kodiak,rcp45,CCSM4,pr_total_mm,2.51,-5.7,0.2,96.9,0.66,371.0,50.1,0.01,0.02,-1
Kodiak,rcp45,CCSM4,tas_mean_C,1.16,-0.6,0.1,2.8,0.17,17.3,-0.8,0.13,0.02,-1
Kodiak,rcp60,CCSM4,pr_total_mm,2.27,1.2,0.2,100.5,0.42,387.0,34.1,0.09,0.12,-1
